MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10001583637,000000000024709845,0.090,Active Import Interval (kW),12-05-2025 18:30
10001583637,000000000024709845,0.094,Active Import Interval (kW),12-05-2025 18:00
10001583637,000000000024709845,0.124,Active Import Interval (kW),12-05-2025 17:30
10001583637,000000000024709845,0.130,Active Import Interval (kW),12-05-2025 17:00
10001583637,000000000024709845,0.462,Active Import Interval (kW),12-05-2025 16:30
10001583637,000000000024709845,1.832,Active Import Interval (kW),12-05-2025 16:00
10001583637,000000000024709845,2.578,Active Import Interval (kW),12-05-2025 15:30
10001583637,000000000024709845,0.188,Active Import Interval (kW),12-05-2025 15:00
10001583637,000000000024709845,0.192,Active Import Interval (kW),12-05-2025 14:30
10001583637,000000000024709845,0.192,Active Import Interval (kW),12-05-2025 14:00
10001583637,000000000024709845,1.216,Active Import Interval (kW),12-05-2025 13:30
10001583637,000000000024709845,0.286,Active Import Interval (kW),12-05-2025 13:00
10001583637,000000000024709845,0.546,Active Import Interval (kW),12-05-2025 12:30
10001583637,000000000024709845,1.392,Active Import Interval (kW),12-05-2025 12:00
10001583637,000000000024709845,0.174,Active Import Interval (kW),12-05-2025 11:30
10001583637,000000000024709845,0.160,Active Import Interval (kW),12-05-2025 11:00
10001583637,000000000024709845,0.240,Active Import Interval (kW),12-05-2025 10:30
10001583637,000000000024709845,0.134,Active Import Interval (kW),12-05-2025 10:00
10001583637,000000000024709845,0.146,Active Import Interval (kW),12-05-2025 09:30
10001583637,000000000024709845,0.112,Active Import Interval (kW),12-05-2025 09:00
10001583637,000000000024709845,0.072,Active Import Interval (kW),12-05-2025 08:30
10001583637,000000000024709845,0.084,Active Import Interval (kW),12-05-2025 08:00
10001583637,000000000024709845,0.056,Active Import Interval (kW),12-05-2025 07:30
10001583637,000000000024709845,0.552,Active Import Interval (kW),12-05-2025 07:00
10001583637,000000000024709845,0.084,Active Import Interval (kW),12-05-2025 06:30
10001583637,000000000024709845,1.506,Active Import Interval (kW),12-05-2025 06:00
10001583637,000000000024709845,3.182,Active Import Interval (kW),12-05-2025 05:30
10001583637,000000000024709845,3.176,Active Import Interval (kW),12-05-2025 05:00
10001583637,000000000024709845,3.156,Active Import Interval (kW),12-05-2025 04:30
10001583637,000000000024709845,0.416,Active Import Interval (kW),12-05-2025 04:00
10001583637,000000000024709845,0.074,Active Import Interval (kW),12-05-2025 03:30
10001583637,000000000024709845,0.066,Active Import Interval (kW),12-05-2025 03:00
10001583637,000000000024709845,0.084,Active Import Interval (kW),12-05-2025 02:30
10001583637,000000000024709845,0.074,Active Import Interval (kW),12-05-2025 02:00
10001583637,000000000024709845,0.072,Active Import Interval (kW),12-05-2025 01:30
10001583637,000000000024709845,0.104,Active Import Interval (kW),12-05-2025 01:00
10001583637,000000000024709845,0.118,Active Import Interval (kW),12-05-2025 00:30
10001583637,000000000024709845,0.112,Active Import Interval (kW),12-05-2025 00:00
10001583637,000000000024709845,0.100,Active Import Interval (kW),11-05-2025 23:30
10001583637,000000000024709845,0.114,Active Import Interval (kW),11-05-2025 23:00
10001583637,000000000024709845,0.100,Active Import Interval (kW),11-05-2025 22:30
10001583637,000000000024709845,0.120,Active Import Interval (kW),11-05-2025 22:00
10001583637,000000000024709845,0.992,Active Import Interval (kW),11-05-2025 21:30
10001583637,000000000024709845,1.836,Active Import Interval (kW),11-05-2025 21:00
10001583637,000000000024709845,2.314,Active Import Interval (kW),11-05-2025 20:30
10001583637,000000000024709845,0.450,Active Import Interval (kW),11-05-2025 20:00
10001583637,000000000024709845,0.046,Active Import Interval (kW),11-05-2025 19:30
10001583637,000000000024709845,0.028,Active Import Interval (kW),11-05-2025 19:00
10001583637,000000000024709845,0.034,Active Import Interval (kW),11-05-2025 18:30
10001583637,000000000024709845,0.042,Active Import Interval (kW),11-05-2025 18:00
10001583637,000000000024709845,0.034,Active Import Interval (kW),11-05-2025 17:30
10001583637,000000000024709845,0.028,Active Import Interval (kW),11-05-2025 17:00
10001583637,000000000024709845,0.042,Active Import Interval (kW),11-05-2025 16:30
10001583637,000000000024709845,0.044,Active Import Interval (kW),11-05-2025 16:00
10001583637,000000000024709845,0.016,Active Import Interval (kW),11-05-2025 15:30
10001583637,000000000024709845,0.422,Active Import Interval (kW),11-05-2025 15:00
10001583637,000000000024709845,0.056,Active Import Interval (kW),11-05-2025 14:30
10001583637,000000000024709845,0.046,Active Import Interval (kW),11-05-2025 14:00
10001583637,000000000024709845,0.396,Active Import Interval (kW),11-05-2025 13:30
10001583637,000000000024709845,0.152,Active Import Interval (kW),11-05-2025 13:00
10001583637,000000000024709845,0.024,Active Import Interval (kW),11-05-2025 12:30
10001583637,000000000024709845,0.038,Active Import Interval (kW),11-05-2025 12:00
10001583637,000000000024709845,0.046,Active Import Interval (kW),11-05-2025 11:30
10001583637,000000000024709845,0.018,Active Import Interval (kW),11-05-2025 11:00
10001583637,000000000024709845,0.046,Active Import Interval (kW),11-05-2025 10:30
10001583637,000000000024709845,0.034,Active Import Interval (kW),11-05-2025 10:00
10001583637,000000000024709845,0.030,Active Import Interval (kW),11-05-2025 09:30
10001583637,000000000024709845,0.046,Active Import Interval (kW),11-05-2025 09:00
10001583637,000000000024709845,0.018,Active Import Interval (kW),11-05-2025 08:30
10001583637,000000000024709845,0.050,Active Import Interval (kW),11-05-2025 08:00
10001583637,000000000024709845,0.030,Active Import Interval (kW),11-05-2025 07:30
10001583637,000000000024709845,0.036,Active Import Interval (kW),11-05-2025 07:00
10001583637,000000000024709845,0.050,Active Import Interval (kW),11-05-2025 06:30
10001583637,000000000024709845,1.114,Active Import Interval (kW),11-05-2025 06:00
10001583637,000000000024709845,3.196,Active Import Interval (kW),11-05-2025 05:30
10001583637,000000000024709845,3.166,Active Import Interval (kW),11-05-2025 05:00
10001583637,000000000024709845,3.202,Active Import Interval (kW),11-05-2025 04:30
10001583637,000000000024709845,0.398,Active Import Interval (kW),11-05-2025 04:00
10001583637,000000000024709845,0.036,Active Import Interval (kW),11-05-2025 03:30
10001583637,000000000024709845,0.066,Active Import Interval (kW),11-05-2025 03:00
10001583637,000000000024709845,0.044,Active Import Interval (kW),11-05-2025 02:30
10001583637,000000000024709845,0.058,Active Import Interval (kW),11-05-2025 02:00
10001583637,000000000024709845,0.066,Active Import Interval (kW),11-05-2025 01:30
10001583637,000000000024709845,0.044,Active Import Interval (kW),11-05-2025 01:00
10001583637,000000000024709845,0.074,Active Import Interval (kW),11-05-2025 00:30
10001583637,000000000024709845,0.062,Active Import Interval (kW),11-05-2025 00:00
10001583637,000000000024709845,0.066,Active Import Interval (kW),10-05-2025 23:30
10001583637,000000000024709845,0.076,Active Import Interval (kW),10-05-2025 23:00
10001583637,000000000024709845,0.052,Active Import Interval (kW),10-05-2025 22:30
10001583637,000000000024709845,0.076,Active Import Interval (kW),10-05-2025 22:00
10001583637,000000000024709845,0.094,Active Import Interval (kW),10-05-2025 21:30
10001583637,000000000024709845,0.070,Active Import Interval (kW),10-05-2025 21:00
10001583637,000000000024709845,0.110,Active Import Interval (kW),10-05-2025 20:30
10001583637,000000000024709845,0.098,Active Import Interval (kW),10-05-2025 20:00
10001583637,000000000024709845,0.074,Active Import Interval (kW),10-05-2025 19:30
10001583637,000000000024709845,0.046,Active Import Interval (kW),10-05-2025 19:00
10001583637,000000000024709845,0.024,Active Import Interval (kW),10-05-2025 18:30
10001583637,000000000024709845,0.038,Active Import Interval (kW),10-05-2025 18:00
10001583637,000000000024709845,0.064,Active Import Interval (kW),10-05-2025 17:30
